"ISO3","Year","Region","country","LandArea","ArablePercent","Population","PopGrowth","RuralPopulation","UrbanPopulation","BirthRatePer1K","FertilityRate","PrimarySchoolAge","LifeExpectancy","AgeDepRatioOld","CO2Emissions","GDP","GDPPerCapita","GDPPerCapGrowth","Inflation","TotalTrade","Exports","Imports","FDIIn","AgriEmployment","MobileCellSubscriptions","NaturalResourceRents","GovtExpenditures","PublicHealthExpend","PoliticalStability","RuleOfLaw","ControlOfCorruption","IncomeLevel","RuralLevel","UrbanLevel","PopGrowthLevel","EconGrowthLevel","TradeLevel","AgricultureLevel"
"COM",2019,"Sub-Saharan Africa","Comoros",1861,34.9274583557227,786578,1.92385702700328,68.2712415931757,31.7287584068243,30.447,4.138,6,65.662,7.82381304065527,0.287320520024715,1092843848.69752,1389.36488014859,-0.178239892265168,3.58213544469211,42.2680785350184,12.7734606325226,29.4946179024958,0.359894031144375,34.5633633534748,73.1291747290161,1.48652356146246,10.0948841035328,0.83244753,58.1216877,40.071992,22.1531127,"Lower middle income","High","Low","High","Low","Low","High"
"CPV",2019,"Sub-Saharan Africa","Cabo Verde",4030,12.4069478908189,514104,0.134109462358547,28.3745714913423,71.6254285086577,14.288,1.698,6,75.449,8.83508259614049,1.62982587180804,2116002110.92756,4115.90283469406,6.80449531732363,1.10666674296063,103.602656463726,46.7050331370949,56.8976233266308,5.45788755667341,10.6045685688918,115.867801067488,13.1611296712207,19.8144671965614,3.24034405,80.231621,70.1881997,65.8582393,"Upper middle income","Low","High","Low","High","High","Low"
"CRI",2019,"Latin America & Caribbean","Costa Rica",51060,3.48500783392088,4999553,0.838278384859255,22.9564135264037,77.0435864735963,12.661,1.6,6,80.296,14.6956052046087,1.63874650393745,64714281272.693,12944.013449341,1.85075764226454,2.09604635327807,65.4194732486775,34.1472985859666,31.2721746627109,4.19904890207774,15.3081432648276,144.514079558713,0.759689840900586,16.6643233032277,5.23799706,76.5896171,66.9617832,62.5292538,"High income","Low","High","Low","High","Low","Low"
"CUB",2019,"Latin America & Caribbean","Cuba",103800,28.0211946050096,11202846,-0.216424863402489,22.9271774291992,77.0728225708008,9.668,1.54,6,77.413,22.3791271427649,1.98985150737589,91020354637.1475,8124.75282059108,0.0532186639248664,NA,22.8208911354416,12.2133743797594,10.6075167556822,NA,17.0201050042897,53.9383385257639,0.920750895009186,32.232015438819,9.86760807,77.1553649,43.9178235,44.9530881,"Upper middle income","Low","High","Low","Low","Low","Low"
"CUW",2019,"Latin America & Caribbean","Curacao",444,NA,157441,-1.19643951751799,8.6285081808695,91.3714918191305,10.1,1.6,6,76.492,20.3842068637146,NA,2830872595.0303,17980.5298177114,-2.04109664387006,2.62220783425059,NA,NA,NA,6.71586638933495,NA,97.200107627293,0,NA,NA,NA,NA,NA,"High income","Low","High","Low","Low",NA,NA
"CYM",2019,"Latin America & Caribbean","Cayman Islands",240,0.833333333333333,67327,2.08009420729087,0,100,12.435,1.508,5,79.052,9.41734681922912,5.84460914640486,5434269977.07991,80714.5718222987,1.77641822923059,NA,114.838539695171,69.4710255697764,45.3675141253948,18.1830873197548,NA,147.043533797733,0,2.35481309963543,NA,87.6795319,70.4467079,60.1096901,"High income","Low","High","High","High","High",NA
"CYP",2019,"Europe & Central Asia","Cyprus",9240,10.4324025974026,1286671,1.24612155650882,33.2322642929482,66.7677357070518,11.014,1.33,6,81.454,18.9315211272561,5.60889302704421,25246550963.5826,28167.146484375,4.46826562163456,0.250370996758493,150.50616312951,75.7588643662806,74.747298763229,431.788575910459,2.41074723073563,137.76052748227,0.00361325176711909,16.0348841954706,3.79063916,78.5331873,71.732418,61.6339343,"High income","Low","High","High","High","High","Low"
"CZE",2019,"Europe & Central Asia","Czechia",77205.5,32.1799871770794,10671870,0.393788864202175,27.2123573290437,72.7876426709563,10.5,1.71,6,79.2292682926829,31.1016030374541,9.72456561033821,217279912681.73,20360.0599221814,3.15874802851988,2.84787595918041,138.154609993871,72.1248511386482,66.0297588552233,4.18705737619001,2.66377082699749,124.126150238634,0.399790319341053,19.3687276792878,6.33127356,83.5971951,76.1786363,60.0687334,"High income","Low","High","Low","High","High","Low"
"DEU",2019,"Europe & Central Asia","Germany",349390,33.5270042073328,83092962,0.22551987421288,18.6946008310961,81.3053991689039,9.4,1.54,6,81.2926829268293,33.4240838892073,8.38218043063623,3675639268112.03,44235.2658954682,0.750266426253219,1.44565976888253,79.0732427175683,42.3402444816356,36.7329982359327,1.9056930139782,1.18740607688,128.292298108313,0.0926260316690242,20.2841166093722,8.89676571,78.3156599,86.3547779,85.8450483,"High income","Low","High","Low","Low","High","Low"
"DJI",2019,"Middle East & North Africa","Djibouti",23180,0.0862812769628991,1088709,1.55766086478885,28.2581853445482,71.7418146554518,21.913,2.798,6,64.381,6.88212987765772,0.765677513458601,3028726927.17701,2781.94350113484,3.91378440928256,3.31763203299603,320.93923036418,166.717864481384,154.221365882795,5.66550441566635,1.25780431116985,38.0143821719119,0.358531614173272,19.810959232023,1.28569102,59.3303305,39.6288457,29.0582086,"Lower middle income","Low","High","High","High","High","Low"
"DMA",2019,"Latin America & Caribbean","Dominica",750,8,67880,-0.432182012456847,28.5617715051036,71.4382284948964,11.512,1.504,5,71.305,17.3849775304943,1.26988803771361,585432211.240413,8624.51695993537,4.3983147374291,1.50462353858141,NA,NA,NA,9.78484788732394,NA,115.103123158515,0.0284260300710226,NA,3.33201027,82.7489638,67.3354878,57.9378139,"Upper middle income","Low","High","Low","High",NA,NA
"DNK",2019,"Europe & Central Asia","Denmark",40000,59.8983,5814422,0.358130915892652,11.7903509189331,88.2096490810669,10.5,1.7,6,81.4512195121951,30.8727053737307,5.17323991963432,332088518944.146,57114.6227336347,1.34779245340653,0.75813157251162,111.891475065653,58.9506079167167,52.9408671489359,-1.10067098319484,2.2229608691021,124.573359763273,0.446224762644461,24.2750272055161,8.52554512,81.242189,91.7336648,91.5002821,"High income","Low","High","Low","Low","High","Low"
